,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,Synthetic,ECFPFingerprint,MS2DeepScore,Pearson,-0.023039337680359883,0.0
1,Synthetic,ECFPFingerprint,MS2DeepScore,Spearman,-0.08629066252882157,0.0
2,Synthetic,ECFPFingerprint,MS2DeepScore,Kendall,-0.06103411820631608,0.0
3,Synthetic,AvalonFingerprint,MS2DeepScore,Pearson,0.15340759681216537,0.0
4,Synthetic,AvalonFingerprint,MS2DeepScore,Spearman,0.11706782966336036,0.0
5,Synthetic,AvalonFingerprint,MS2DeepScore,Kendall,0.0784924295394504,0.0
6,Synthetic,LayeredFingerprint,MS2DeepScore,Pearson,0.34880726419091046,0.0
7,Synthetic,LayeredFingerprint,MS2DeepScore,Spearman,0.3182385792789317,0.0
8,Synthetic,LayeredFingerprint,MS2DeepScore,Kendall,0.21619509425200123,0.0
9,Synthetic,RDKitFingerprint,MS2DeepScore,Pearson,0.3444789248416112,0.0
10,Synthetic,RDKitFingerprint,MS2DeepScore,Spearman,0.286328172490458,0.0
11,Synthetic,RDKitFingerprint,MS2DeepScore,Kendall,0.1954330532628025,0.0
