,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,"GNPS (LOTUS, Negatives)",ECFPFingerprint,Neutral Losses Cosine,Pearson,0.10317291179885829,0.0
1,"GNPS (LOTUS, Negatives)",ECFPFingerprint,Neutral Losses Cosine,Spearman,0.12578832882142696,0.0
2,"GNPS (LOTUS, Negatives)",ECFPFingerprint,Neutral Losses Cosine,Kendall,0.09336817903546422,0.0
3,"GNPS (LOTUS, Negatives)",AvalonFingerprint,Neutral Losses Cosine,Pearson,0.0764319341547902,0.0
4,"GNPS (LOTUS, Negatives)",AvalonFingerprint,Neutral Losses Cosine,Spearman,0.09161976740594274,0.0
5,"GNPS (LOTUS, Negatives)",AvalonFingerprint,Neutral Losses Cosine,Kendall,0.0671992237411142,0.0
6,"GNPS (LOTUS, Negatives)",LayeredFingerprint,Neutral Losses Cosine,Pearson,0.10146813086644875,0.0
7,"GNPS (LOTUS, Negatives)",LayeredFingerprint,Neutral Losses Cosine,Spearman,0.13716248549581847,0.0
8,"GNPS (LOTUS, Negatives)",LayeredFingerprint,Neutral Losses Cosine,Kendall,0.10074582873922612,0.0
9,"GNPS (LOTUS, Negatives)",RDKitFingerprint,Neutral Losses Cosine,Pearson,0.09194985618822255,0.0
10,"GNPS (LOTUS, Negatives)",RDKitFingerprint,Neutral Losses Cosine,Spearman,0.07677710840934747,0.0
11,"GNPS (LOTUS, Negatives)",RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0564532998768324,0.0
