,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,GNPS (LOTUS),ECFPFingerprint,Neutral Losses Cosine,Pearson,0.0835239117246752,0.0
1,GNPS (LOTUS),ECFPFingerprint,Neutral Losses Cosine,Spearman,0.18251388294981968,0.0
2,GNPS (LOTUS),ECFPFingerprint,Neutral Losses Cosine,Kendall,0.13948221389404566,0.0
3,GNPS (LOTUS),AvalonFingerprint,Neutral Losses Cosine,Pearson,0.029949360537638515,0.0
4,GNPS (LOTUS),AvalonFingerprint,Neutral Losses Cosine,Spearman,0.07705276452341527,0.0
5,GNPS (LOTUS),AvalonFingerprint,Neutral Losses Cosine,Kendall,0.058382334833959715,0.0
6,GNPS (LOTUS),LayeredFingerprint,Neutral Losses Cosine,Pearson,0.03497412956234525,0.0
7,GNPS (LOTUS),LayeredFingerprint,Neutral Losses Cosine,Spearman,0.062003920932870965,0.0
8,GNPS (LOTUS),LayeredFingerprint,Neutral Losses Cosine,Kendall,0.04690958889149088,0.0
9,GNPS (LOTUS),RDKitFingerprint,Neutral Losses Cosine,Pearson,0.04014344866657925,0.0
10,GNPS (LOTUS),RDKitFingerprint,Neutral Losses Cosine,Spearman,0.07278754459451173,0.0
11,GNPS (LOTUS),RDKitFingerprint,Neutral Losses Cosine,Kendall,0.05507294672735443,0.0
