,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,GNPS (LOTUS),ECFPFingerprint,MS2DeepScore,Pearson,-0.09711489601070569,0.0
1,GNPS (LOTUS),ECFPFingerprint,MS2DeepScore,Spearman,-0.11154256500981738,0.0
2,GNPS (LOTUS),ECFPFingerprint,MS2DeepScore,Kendall,-0.07626300276434617,0.0
3,GNPS (LOTUS),AvalonFingerprint,MS2DeepScore,Pearson,0.03778558874066109,0.0
4,GNPS (LOTUS),AvalonFingerprint,MS2DeepScore,Spearman,0.025664312774051883,0.0
5,GNPS (LOTUS),AvalonFingerprint,MS2DeepScore,Kendall,0.016264690247431435,0.0
6,GNPS (LOTUS),LayeredFingerprint,MS2DeepScore,Pearson,0.2658378956230141,0.0
7,GNPS (LOTUS),LayeredFingerprint,MS2DeepScore,Spearman,0.2561174761446784,0.0
8,GNPS (LOTUS),LayeredFingerprint,MS2DeepScore,Kendall,0.17253980393579024,0.0
9,GNPS (LOTUS),RDKitFingerprint,MS2DeepScore,Pearson,0.11354058454170318,0.0
10,GNPS (LOTUS),RDKitFingerprint,MS2DeepScore,Spearman,0.07637482598368754,0.0
11,GNPS (LOTUS),RDKitFingerprint,MS2DeepScore,Kendall,0.05190372848790149,0.0
