,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,"GNPS (Positives, QTOF)",ECFPFingerprint,Greedy Cosine,Pearson,0.06883381333790611,0.0
1,"GNPS (Positives, QTOF)",ECFPFingerprint,Greedy Cosine,Spearman,-0.06247249865169738,0.0
2,"GNPS (Positives, QTOF)",ECFPFingerprint,Greedy Cosine,Kendall,-0.04259384676763046,0.0
3,"GNPS (Positives, QTOF)",AvalonFingerprint,Greedy Cosine,Pearson,0.06352702390782411,0.0
4,"GNPS (Positives, QTOF)",AvalonFingerprint,Greedy Cosine,Spearman,0.002357548443812742,6.873521500182778e-123
5,"GNPS (Positives, QTOF)",AvalonFingerprint,Greedy Cosine,Kendall,0.0016623108832552955,5.102220992688654e-129
6,"GNPS (Positives, QTOF)",LayeredFingerprint,Greedy Cosine,Pearson,0.08259388754060427,0.0
7,"GNPS (Positives, QTOF)",LayeredFingerprint,Greedy Cosine,Spearman,0.039865665670979836,0.0
8,"GNPS (Positives, QTOF)",LayeredFingerprint,Greedy Cosine,Kendall,0.027573263090509545,0.0
9,"GNPS (Positives, QTOF)",RDKitFingerprint,Greedy Cosine,Pearson,0.08606619158113077,0.0
10,"GNPS (Positives, QTOF)",RDKitFingerprint,Greedy Cosine,Spearman,0.021261878127067212,0.0
11,"GNPS (Positives, QTOF)",RDKitFingerprint,Greedy Cosine,Kendall,0.015445004707102845,0.0
