,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,"GNPS (LOTUS, Negatives, Orbitrap)",ECFPFingerprint,Weighted MS Entropy,Pearson,0.01999141201513029,0.0
1,"GNPS (LOTUS, Negatives, Orbitrap)",ECFPFingerprint,Weighted MS Entropy,Spearman,0.008466083176264773,0.0
2,"GNPS (LOTUS, Negatives, Orbitrap)",ECFPFingerprint,Weighted MS Entropy,Kendall,0.0069564942230662995,0.0
3,"GNPS (LOTUS, Negatives, Orbitrap)",AvalonFingerprint,Weighted MS Entropy,Pearson,0.01825862339630325,0.0
4,"GNPS (LOTUS, Negatives, Orbitrap)",AvalonFingerprint,Weighted MS Entropy,Spearman,0.012693198856528845,0.0
5,"GNPS (LOTUS, Negatives, Orbitrap)",AvalonFingerprint,Weighted MS Entropy,Kendall,0.010373907523635683,0.0
6,"GNPS (LOTUS, Negatives, Orbitrap)",LayeredFingerprint,Weighted MS Entropy,Pearson,0.026403023839829506,0.0
7,"GNPS (LOTUS, Negatives, Orbitrap)",LayeredFingerprint,Weighted MS Entropy,Spearman,0.018730442779619286,0.0
8,"GNPS (LOTUS, Negatives, Orbitrap)",LayeredFingerprint,Weighted MS Entropy,Kendall,0.015304356556342545,0.0
9,"GNPS (LOTUS, Negatives, Orbitrap)",RDKitFingerprint,Weighted MS Entropy,Pearson,0.024056218191979978,0.0
10,"GNPS (LOTUS, Negatives, Orbitrap)",RDKitFingerprint,Weighted MS Entropy,Spearman,0.01516299259407433,0.0
11,"GNPS (LOTUS, Negatives, Orbitrap)",RDKitFingerprint,Weighted MS Entropy,Kendall,0.012383702833164452,0.0
