,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,"GNPS (Positives, Orbitrap)",ECFPFingerprint,Greedy Cosine,Pearson,0.0686941604113552,0.0
1,"GNPS (Positives, Orbitrap)",ECFPFingerprint,Greedy Cosine,Spearman,0.1206418170459868,0.0
2,"GNPS (Positives, Orbitrap)",ECFPFingerprint,Greedy Cosine,Kendall,0.09284733850021665,0.0
3,"GNPS (Positives, Orbitrap)",AvalonFingerprint,Greedy Cosine,Pearson,0.04208413258237249,0.0
4,"GNPS (Positives, Orbitrap)",AvalonFingerprint,Greedy Cosine,Spearman,-0.0009809225571303342,1.0275182328307833e-22
5,"GNPS (Positives, Orbitrap)",AvalonFingerprint,Greedy Cosine,Kendall,-0.0007973804371393164,1.5148696609999121e-25
6,"GNPS (Positives, Orbitrap)",LayeredFingerprint,Greedy Cosine,Pearson,0.036346555919821874,0.0
7,"GNPS (Positives, Orbitrap)",LayeredFingerprint,Greedy Cosine,Spearman,-0.06265774978181216,0.0
8,"GNPS (Positives, Orbitrap)",LayeredFingerprint,Greedy Cosine,Kendall,-0.04794809605397724,0.0
9,"GNPS (Positives, Orbitrap)",RDKitFingerprint,Greedy Cosine,Pearson,0.05710112212349931,0.0
10,"GNPS (Positives, Orbitrap)",RDKitFingerprint,Greedy Cosine,Spearman,0.01920320233167977,0.0
11,"GNPS (Positives, Orbitrap)",RDKitFingerprint,Greedy Cosine,Kendall,0.014714021315124849,0.0
