dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.422392404497088,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.294736979645459,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3577382474335463,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1979057191682206,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1355276258012289,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4069384118365566,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3645538658755307,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2538057682716426,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.406582593724247,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.4003324801827062,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2769355416657605,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4834190265147674,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4220768061902059,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2953243885138036,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3591821771809811,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.2015422303347677,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1380175191254486,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4057861800059743,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3661782021063209,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2547285445719611,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.4012003302246082,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.4010975295999015,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2774033903788419,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4834020786910008,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4235494433246498,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2959485437528957,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3612256144558053,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1958318620576458,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1339320069898061,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.403817221147324,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3518436944210093,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2449153819334233,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.4076597063745608,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.3982684187681509,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2757973437921196,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4828688215203773,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.415631857703772,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2905904055268047,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3463005012851012,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1962826597775157,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1341741179881082,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.3907324399371216,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3583394316779531,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.249165941042668,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.3910789846102331,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.3951744483482367,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2733284975452771,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4681972788035859,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4140483295527166,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2892734790918134,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3612564218577095,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.2006346630824299,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1375819905100997,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4028762137773258,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3659825709266431,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2552208859446758,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.4082211167393108,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.4077686288858509,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.282351185516853,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.476623155296043,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4218273386142384,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2948130856253759,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3609304918085668,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1983972438937753,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1361031007377874,0.0
